persona_profile_column,sensitive_group,trial_kind,n_total,n_invalid,invalid_rate_pct
core,control,core_control,100,0,0.0
core,sens_1,sensitive_treatment,100,0,0.0
core,sens_10,sensitive_treatment,100,0,0.0
core,sens_11,sensitive_treatment,100,0,0.0
core,sens_12,sensitive_treatment,100,0,0.0
core,sens_13,sensitive_treatment,100,0,0.0
core,sens_14,sensitive_treatment,100,0,0.0
core,sens_2,sensitive_treatment,100,0,0.0
core,sens_3,sensitive_treatment,100,0,0.0
core,sens_4,sensitive_treatment,100,0,0.0
core,sens_5,sensitive_treatment,100,0,0.0
core,sens_6,sensitive_treatment,100,0,0.0
core,sens_7,sensitive_treatment,100,0,0.0
core,sens_8,sensitive_treatment,100,0,0.0
core,sens_9,sensitive_treatment,100,0,0.0
top-16,control,core_control,100,0,0.0
top-16,sens_1,sensitive_treatment,100,1,1.0
top-16,sens_10,sensitive_treatment,100,0,0.0
top-16,sens_11,sensitive_treatment,100,1,1.0
top-16,sens_12,sensitive_treatment,100,0,0.0
top-16,sens_13,sensitive_treatment,100,0,0.0
top-16,sens_14,sensitive_treatment,100,3,3.0
top-16,sens_2,sensitive_treatment,100,0,0.0
top-16,sens_3,sensitive_treatment,100,0,0.0
top-16,sens_4,sensitive_treatment,100,2,2.0
top-16,sens_5,sensitive_treatment,100,0,0.0
top-16,sens_6,sensitive_treatment,100,1,1.0
top-16,sens_7,sensitive_treatment,100,0,0.0
top-16,sens_8,sensitive_treatment,100,3,3.0
top-16,sens_9,sensitive_treatment,100,3,3.0
top-2,control,core_control,100,0,0.0
top-2,sens_1,sensitive_treatment,100,0,0.0
top-2,sens_10,sensitive_treatment,100,0,0.0
top-2,sens_11,sensitive_treatment,100,0,0.0
top-2,sens_12,sensitive_treatment,100,0,0.0
top-2,sens_13,sensitive_treatment,100,0,0.0
top-2,sens_14,sensitive_treatment,100,0,0.0
top-2,sens_2,sensitive_treatment,100,0,0.0
top-2,sens_3,sensitive_treatment,100,0,0.0
top-2,sens_4,sensitive_treatment,100,0,0.0
top-2,sens_5,sensitive_treatment,100,0,0.0
top-2,sens_6,sensitive_treatment,100,0,0.0
top-2,sens_7,sensitive_treatment,100,0,0.0
top-2,sens_8,sensitive_treatment,100,0,0.0
top-2,sens_9,sensitive_treatment,100,0,0.0
top-4,control,core_control,100,0,0.0
top-4,sens_1,sensitive_treatment,100,0,0.0
top-4,sens_10,sensitive_treatment,100,0,0.0
top-4,sens_11,sensitive_treatment,100,0,0.0
top-4,sens_12,sensitive_treatment,100,0,0.0
top-4,sens_13,sensitive_treatment,100,0,0.0
top-4,sens_14,sensitive_treatment,100,0,0.0
top-4,sens_2,sensitive_treatment,100,0,0.0
top-4,sens_3,sensitive_treatment,100,0,0.0
top-4,sens_4,sensitive_treatment,100,0,0.0
top-4,sens_5,sensitive_treatment,100,0,0.0
top-4,sens_6,sensitive_treatment,100,0,0.0
top-4,sens_7,sensitive_treatment,100,0,0.0
top-4,sens_8,sensitive_treatment,100,0,0.0
top-4,sens_9,sensitive_treatment,100,0,0.0
top-8,control,core_control,100,0,0.0
top-8,sens_1,sensitive_treatment,100,1,1.0
top-8,sens_10,sensitive_treatment,100,0,0.0
top-8,sens_11,sensitive_treatment,100,0,0.0
top-8,sens_12,sensitive_treatment,100,0,0.0
top-8,sens_13,sensitive_treatment,100,1,1.0
top-8,sens_14,sensitive_treatment,100,1,1.0
top-8,sens_2,sensitive_treatment,100,0,0.0
top-8,sens_3,sensitive_treatment,100,0,0.0
top-8,sens_4,sensitive_treatment,100,1,1.0
top-8,sens_5,sensitive_treatment,100,0,0.0
top-8,sens_6,sensitive_treatment,100,3,3.0
top-8,sens_7,sensitive_treatment,100,0,0.0
top-8,sens_8,sensitive_treatment,100,2,2.0
top-8,sens_9,sensitive_treatment,100,0,0.0
